"Title","ID","Created Date","Updated Date","Owner","bookingId","bookingNumber","publishStatus","bookingStatus","customerName","phone","email","bookedCategoryCode","bookedCategoryId","bookedCategoryLabel","assignedVehicleId","assignedVehiclePlate","assignedVehicleModel","assignedVehicleLabel","assignedCategoryCode","pickupDateTime","dropoffDateTime","pickupPoint","dropoffPoint","originCity","flightNumber","pickupComment","dropoffComment","driverAgeBand","selectedPackage","basePricePerDay","billableDays","durationHours","totalPrice","rentalState","mainDriverJson","additionalDriversJson","chargesJson","billingJson","internalMemo","checkoutAt","checkoutOdometer","checkoutFuelLevel","checkoutNotes","checkinAt","checkinOdometer","checkinFuelLevel","checkinNotes","damagesNotes","photosJson","legacyCreatedAt","legacyUpdatedAt","legacyOwner","needsReview"
,"0eb8cfed-e8ae-407a-9957-9430e8a68029",2026-05-24T10:57:00Z,2026-05-24T10:57:00Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0025",,,"ENAS DIO","690000000","ckatz1995@gmail.com",,,,,,,,,2026-05-24T11:00:00Z,2026-05-25T11:00:00Z,,,"ΠΟΛΗ ΑΦ.","ΑΡ.ΠΤΗΣΗΣ","Flight: ΑΡ.ΠΤΗΣΗΣ",,,"full",15,1,24,31,,,,,,,,,,,,,,,,,,,,
,"0ee3628e-249a-489c-959d-4c4bad6dbd68",2026-05-24T10:46:24Z,2026-05-24T10:46:24Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0018",,,"ENAS DIO","690000000","ckatz1995@gmail.com",,,,,,,,,2026-05-24T11:00:00Z,2026-05-25T11:00:00Z,,,"ΠΟΛΗ ΑΦ.","ΑΡ.ΠΤΗΣΗΣ","Flight: ΑΡ.ΠΤΗΣΗΣ",,,"full",15,1,24,31,,,,,,"333",,,,,,,,,,,,,,
,"0f17e403-8892-48bf-a177-1ba7e35af89c",2026-04-03T17:29:40Z,2026-04-03T17:29:40Z,"4139a8c1-c961-498e-9512-465437a7bf6c",,"RNT-2026-0004",,,"Nikolaos Manikakis","6906564025","ckatz1995@gmail.com",,,,,,,,,2026-04-03T18:00:00Z,2026-04-04T18:00:00Z,,,"KAPOU","Α1234","Flight: Α1234",,,"full",15,1,24,35,,,,,,"ασσασσ",,,,,,,,,,,,,,
,"16c95816-80d5-41b8-b5e0-97173fa868bb",2026-05-24T11:17:02Z,2026-05-24T11:33:42Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0031",,,"ENAS DIO",690000000,"ckatz1995@gmail.com",,,,,,,,,2026-05-24T12:00:00Z,2026-05-25T12:00:00Z,,,"ΑΘΗΝΑ","a3136","Flight: a3136",,,"full",15,1,24,81,,,,,,"zzz",,,,,,,,,,,,,,
,"202470d8-f10e-4faf-a9f2-a8d4b782c355",2026-05-24T11:02:47Z,2026-05-24T11:02:47Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0027",,,"ENAS DIO","690000000","ckatz1995@gmail.com",,,,,,,,,2026-05-24T11:00:00Z,2026-05-25T11:00:00Z,,,"ΑΘΗΝΑ","a3136","Flight: a3136",,,"full",15,1,24,31,,,,,,"sxolio",,,,,,,,,,,,,,
,"212d0134-a0c2-44f4-a602-c4adc2f15f11",2026-05-24T10:28:44Z,2026-05-24T10:28:44Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0013",,,"ENAS DIO","690000000","ckatz1995@gmail.com",,,,,,,,,2026-05-24T11:00:00Z,2026-05-25T11:00:00Z,,,"ΠΟΛΗ ΑΦ.","ΑΡ.ΠΤΗΣΗΣ","Flight: ΑΡ.ΠΤΗΣΗΣ",,,"full",15,1,24,31,,,,,,"33333",,,,,,,,,,,,,,
,"21cb6580-d503-4bd0-bc32-7f7f8d185619",2026-04-02T13:22:58Z,2026-04-03T07:49:33Z,"4139a8c1-c961-498e-9512-465437a7bf6c",,"RNT-2026-0001",,,"Nikolaos Manikakis","6906564025","ckatz1995@gmail.com",,,,,"ΝΗΧ1234","Up","ΝΗΧ1234 - Up","A",2026-04-02T14:00:00Z,2026-04-09T14:00:00Z,,,"Πόληη","Αρ. πτησης","Flight: Αρ. πτησης",,,"scdw",18,7,168,226,"Active Rental",,,,,"Σχολιοο",2026-04-03T07:49:32Z,0,1,,,0,1,,,,,,,
,"23794fcd-252b-4be5-9028-deab70c13f21",2026-05-24T11:16:15Z,2026-05-24T11:16:15Z,"48ba7aa5-ed2b-43d2-bdd7-6596e6ec75a8",,"RNT-2026-0030",,,"ENAS DIO","690000000","ckatz1995@gmail.com",,,,,,,,,2026-05-24T12:00:00Z,2026-05-25T12:00:00Z,,,"ΑΘΗΝΑ","a3136","Flight: a3136",,,"full",15,1,24,31,,,,,,"zzz",,,,,,,,,,,,,,
,"2c1a6850-8dda-4a00-bef6-59c82379fd78",2026-05-13T16:50:35Z,2026-05-13T16:50:35Z,"5452d538-bc0c-44f8-a281-0acb3452d262",,"RNT-2026-0006",,,"Νικόλαος Μανικάκης","6906564025","ckatz1995@gmail.com",,,,,,,,,2026-05-18T17:30:00Z,2026-05-25T17:30:00Z,,,"Edw","A444","Flight: A444",,,"scdw",15,7,168,248,,,,,,"Qqqq",,,,,,,,,,,,,,
,"304ea932-1660-40ac-87b3-3f5fbb7a635c",2026-05-24T18:51:12Z,2026-05-24T18:51:12Z,"80cea4ab-bbb6-4e86-8870-57b74ef406e8",,"RNT-2026-0034",,,"Gsvf Gdhf","6971918674","aliou2453@gmail.com",,,,,,,,,2026-06-01T11:00:00Z,2026-06-07T15:00:00Z,,,"Αγχωδών","Βσβφωβ","Flight: Βσβφωβ",,,"scdw",50,7,148,477,,,,,,"F CD f re vfhdhrfcgdvxgdf grad",,,,,,,,,,,,,,
